Model,WER (%),CER (%),MER (%),WIL (%),WIP (%)
Base Whisper Large v3,36.5525299735826,18.826293330776238,35.74444830841075,52.2008030595444,47.799196940455595
Base Whisper Small,56.41637878479984,36.243946876348474,53.813723589842986,73.30722606141111,26.692773938588893
FT Whisper Large v3 Test,25.01194457716197,10.809736272474266,24.21369102682701,38.53877471875013,61.46122528124987
FT Whisper Large v3 Train,25.732352561620853,11.417303546933177,24.764033780427223,38.73204521486476,61.26795478513524
FT Whisper Small Test,43.71715241280459,22.913813667888856,37.77089783281733,53.61858439463699,46.38141560536301
FT Whisper Small Train,10.49167634533488,6.372476974328826,10.139685707158892,15.579481846226994,84.420518153773
Overall FT Whisper Large v3,25.57915057915058,11.285419763149063,24.647542588603876,38.69097695509184,61.30902304490816
Overall FT Whisper Small,17.55740703109124,9.963081938917389,16.550931468799387,24.948911578792732,75.05108842120727
